YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST,RK_EST,APS_APS,BGT_MCT,BGT_UBGT,BPS_BPS,BR_BCNT_SUM,CPSS_CPS,EHS_EHS,FACLT_EQP_TPC,FACLT_LAS,FACLT_RS_TRS,LBRT_USTL,LPK_LPK,LPS_LPS,LS_LB_SUM,LS_LU_SUM,SPK_SPK,STL_MCT,STL_USTL,VPS_VPS,VUC_UC_LUC
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,60.65103092063494,334,0.699999988079071,3000000,9319623000,31.600000381469727,9558,0.0,0.0,1,216,80,7583238000,0.0,0.1000000014901161,25,13,2.5999999046325684,0,7583238000,0.1000000014901161,25
2015,2,가야대학교,대학,사립,경남,C그룹,65.04531379365075,60,1.2999999523162842,147000000,31440516000,54.09999847412109,152212,49041.9,15.300000190734863,38,3729,825,29610873000,1.100000023841858,2.5999999046325684,9680,903,1.0,138003945,29610873000,39.900001525878906,112247
2015,3,가천대학교,대학,사립,경기,A그룹,53.84461903391059,430,0.6000000238418579,2686323000,294754564000,43.79999923706055,920407,125941.4,30.799999237060547,148,12345,3223,252035003000,0.699999988079071,3.799999952316284,88247,11553,0.8999999761581421,2647035700,252035003000,42.0,883443
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,64.93484447330457,67,0.8999999761581421,829983000,120519381000,66.9000015258789,648277,74090.4,45.59999847412109,118,8622,1517,273154994000,0.4000000059604645,2.0999999046325684,23130,11906,0.8999999761581421,717639505,273154994000,50.400001525878906,487706
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,62.03367913636361,280,3.0,93000000,9026851000,82.69999694824219,47883,160621.8,74.0,29,1727,246,9601888000,1.7000000476837158,9.100000381469728,6048,492,1.7000000476837158,93000000,9601888000,83.0,48040
2015,6,가톨릭대학교,대학,사립,경기,A그룹,48.66237289754695,444,1.600000023841858,3940527000,212841156000,91.8000030517578,1000781,362203.0,22.39999961853028,269,17684,3191,212394445000,1.899999976158142,12.600000381469728,183222,11473,2.5999999046325684,3947650145,212394445000,137.10000610351562,1494677
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,63.71454073641172,151,1.600000023841858,58456000,13674915000,46.20000076293945,94941,25620.7,96.3000030517578,19,3339,480,15745354000,1.0,3.200000047683716,7474,1165,1.100000023841858,52650586,15745354000,58.5,120216
2015,8,감리교신학대학교,대학,사립,서울,C그룹,61.81061936507933,288,1.600000023841858,140000000,18887327000,84.5999984741211,131195,90320.0,39.0,41,2542,377,17470614000,1.899999976158142,23.100000381469727,41835,1661,1.899999976158142,139995973,17470614000,1.100000023841858,1678
2015,9,강남대학교,대학,사립,경기,B그룹,65.18199284992784,55,0.6000000238418579,450000000,77816615000,65.0999984741211,502362,54828.6,12.600000381469728,54,4924,801,81788166000,1.0,3.0999999046325684,29932,4122,1.100000023841858,423221924,81788166000,33.900001525878906,261385
2015,10,강동대학교,전문대학,사립,충북,B그룹,62.36522674603179,260,0.3000000119209289,109482000,38645167000,14.399999618530272,60530,28606.8,3.5,12,1055,420,40889778000,0.2000000029802322,0.4000000059604645,2634,330,0.4000000059604645,120091300,40889778000,12.600000381469728,53062
